SetID	Status
SET_1	All files are identical
SET_10	All files are identical
SET_100	Files differ (ignoring headers)
SET_1000	Files differ (ignoring headers)
SET_1001	All files are identical
SET_1002	All files are identical
SET_1003	All files are identical
SET_1004	All files are identical
SET_1005	Files differ (ignoring headers)
SET_1006	All files are identical
SET_1007	All files are identical
SET_1008	All files are identical
SET_1009	Files differ (ignoring headers)
SET_101	Files differ (ignoring headers)
SET_1010	All files are identical
SET_1011	Files differ (ignoring headers)
SET_1012	Files differ (ignoring headers)
SET_1013	All files are identical
SET_1014	All files are identical
SET_1015	Files differ (ignoring headers)
SET_1016	All files are identical
SET_1017	All files are identical
SET_1018	All files are identical
SET_1019	All files are identical
SET_102	All files are identical
SET_1020	Files differ (ignoring headers)
SET_1021	Files differ (ignoring headers)
SET_1022	Files differ (ignoring headers)
SET_1023	All files are identical
SET_1024	All files are identical
SET_1025	All files are identical
SET_1026	All files are identical
SET_1027	All files are identical
SET_1028	All files are identical
SET_1029	Files differ (ignoring headers)
SET_103	All files are identical
SET_1030	Files differ (ignoring headers)
SET_1031	Files differ (ignoring headers)
SET_1032	All files are identical
SET_1033	All files are identical
SET_1034	All files are identical
SET_1035	Files differ (ignoring headers)
SET_1036	Files differ (ignoring headers)
SET_1037	All files are identical
SET_1038	All files are identical
SET_1039	All files are identical
SET_104	All files are identical
SET_1040	Files differ (ignoring headers)
SET_1041	Files differ (ignoring headers)
SET_1042	Files differ (ignoring headers)
SET_1043	Files differ (ignoring headers)
SET_1044	Files differ (ignoring headers)
SET_1045	All files are identical
SET_1046	All files are identical
SET_1047	All files are identical
SET_1048	All files are identical
SET_1049	All files are identical
SET_105	All files are identical
SET_1050	Files differ (ignoring headers)
SET_1051	Files differ (ignoring headers)
SET_1052	All files are identical
SET_1053	All files are identical
SET_1054	All files are identical
SET_1055	Files differ (ignoring headers)
SET_1056	Files differ (ignoring headers)
SET_1057	Files differ (ignoring headers)
SET_1058	Files differ (ignoring headers)
SET_1059	All files are identical
SET_106	All files are identical
SET_1060	All files are identical
SET_1061	Files differ (ignoring headers)
SET_1062	All files are identical
SET_1063	All files are identical
SET_1064	All files are identical
SET_1065
SET_1066	All files are identical
SET_1067	Files differ (ignoring headers)
SET_1068	All files are identical
SET_1069	All files are identical
SET_107	All files are identical
SET_1070	Files differ (ignoring headers)
SET_1071	All files are identical
SET_1072	All files are identical
SET_1073	All files are identical
SET_1074	All files are identical
SET_1075	All files are identical
SET_1076	All files are identical
SET_1077	All files are identical
SET_1078	Files differ (ignoring headers)
SET_1079	All files are identical
SET_108	Files differ (ignoring headers)
SET_1080	All files are identical
SET_1081	All files are identical
SET_1082	All files are identical
SET_1083	All files are identical
SET_1084	All files are identical
SET_1085	Files differ (ignoring headers)
SET_1086	All files are identical
SET_1087	Files differ (ignoring headers)
SET_1088	Files differ (ignoring headers)
SET_1089	All files are identical
SET_109	All files are identical
SET_1090	All files are identical
SET_1091	All files are identical
SET_1092	Files differ (ignoring headers)
SET_1093	Files differ (ignoring headers)
SET_1094	Files differ (ignoring headers)
SET_1095	All files are identical
SET_1096	All files are identical
SET_1097	All files are identical
SET_1098	Files differ (ignoring headers)
SET_1099	All files are identical
SET_11	All files are identical
SET_110	Files differ (ignoring headers)
SET_1100	All files are identical
SET_1101	Files differ (ignoring headers)
SET_1102	All files are identical
SET_1103	Files differ (ignoring headers)
SET_1104	All files are identical
SET_1105	All files are identical
SET_1106	All files are identical
SET_1107	Files differ (ignoring headers)
SET_1108	Files differ (ignoring headers)
SET_1109	All files are identical
SET_111	Files differ (ignoring headers)
SET_1110	Files differ (ignoring headers)
SET_1111	Files differ (ignoring headers)
SET_1112	Files differ (ignoring headers)
SET_1113	All files are identical
SET_1114	Files differ (ignoring headers)
SET_1115	All files are identical
SET_1116	Files differ (ignoring headers)
SET_1117	Files differ (ignoring headers)
SET_1118	Files differ (ignoring headers)
SET_1119	All files are identical
SET_112	All files are identical
SET_1120	All files are identical
SET_1121	All files are identical
SET_1122	All files are identical
SET_1123	All files are identical
SET_1124	All files are identical
SET_1125	All files are identical
SET_1126	All files are identical
SET_1127	All files are identical
SET_1128	Files differ (ignoring headers)
SET_1129	All files are identical
SET_113	All files are identical
SET_1130	Files differ (ignoring headers)
SET_1131	All files are identical
SET_1132	All files are identical
SET_1133	All files are identical
SET_1134	Files differ (ignoring headers)
SET_1135	All files are identical
SET_1136	Files differ (ignoring headers)
SET_1137	All files are identical
SET_1138	All files are identical
SET_1139	Files differ (ignoring headers)
SET_114	All files are identical
SET_1140	All files are identical
SET_1141	All files are identical
SET_1142	All files are identical
SET_1143	All files are identical
SET_1144	Files differ (ignoring headers)
SET_1145	All files are identical
SET_1146	Files differ (ignoring headers)
SET_1147	Files differ (ignoring headers)
SET_1148	Files differ (ignoring headers)
SET_1149	Files differ (ignoring headers)
SET_115	All files are identical
SET_1150	All files are identical
SET_1151	Files differ (ignoring headers)
SET_1152	All files are identical
SET_1153	All files are identical
SET_1154	Files differ (ignoring headers)
SET_1155	Files differ (ignoring headers)
SET_1156	All files are identical
SET_1157	All files are identical
SET_1158	All files are identical
SET_1159	All files are identical
SET_116	All files are identical
SET_1160	All files are identical
SET_1161	All files are identical
SET_1162	Files differ (ignoring headers)
SET_1163	All files are identical
SET_1164	All files are identical
SET_1165	All files are identical
SET_1166	Files differ (ignoring headers)
SET_1167	All files are identical
SET_1168	All files are identical
SET_1169	Files differ (ignoring headers)
SET_117	All files are identical
SET_1170	All files are identical
SET_1171	All files are identical
SET_1172	All files are identical
SET_1173	All files are identical
SET_1174	All files are identical
SET_1175	All files are identical
SET_1176	Files differ (ignoring headers)
SET_1177	All files are identical
SET_1178	All files are identical
SET_1179	All files are identical
SET_118	Files differ (ignoring headers)
SET_1180	All files are identical
SET_1181	Files differ (ignoring headers)
SET_1182	Files differ (ignoring headers)
SET_1183	All files are identical
SET_1184	All files are identical
SET_1185	Files differ (ignoring headers)
SET_1186	All files are identical
SET_1187	All files are identical
SET_1188	All files are identical
SET_1189	All files are identical
SET_119	Files differ (ignoring headers)
SET_1190	All files are identical
SET_1191	All files are identical
SET_1192	All files are identical
SET_1193	Files differ (ignoring headers)
SET_1194	Files differ (ignoring headers)
SET_1195	All files are identical
SET_1196	All files are identical
SET_1197	All files are identical
SET_1198	Files differ (ignoring headers)
SET_1199	All files are identical
SET_12	All files are identical
SET_120	All files are identical
SET_1200	All files are identical
SET_1201	All files are identical
SET_1202	All files are identical
SET_1203	All files are identical
SET_1204	All files are identical
SET_1205	Files differ (ignoring headers)
SET_1206	All files are identical
SET_1207	Files differ (ignoring headers)
SET_1208	All files are identical
SET_1209	All files are identical
SET_121	Files differ (ignoring headers)
SET_1210	All files are identical
SET_1211	Files differ (ignoring headers)
SET_1212	Files differ (ignoring headers)
SET_1213	Files differ (ignoring headers)
SET_1214	All files are identical
SET_1215	All files are identical
SET_1216	All files are identical
SET_1217	All files are identical
SET_1218	All files are identical
SET_1219	All files are identical
SET_122	Files differ (ignoring headers)
SET_1220	All files are identical
SET_1221	Files differ (ignoring headers)
SET_1222	All files are identical
SET_1223	All files are identical
SET_1224	All files are identical
SET_1225	Files differ (ignoring headers)
SET_1226	Files differ (ignoring headers)
SET_1227	Files differ (ignoring headers)
SET_1228	All files are identical
SET_1229	Files differ (ignoring headers)
SET_123	Files differ (ignoring headers)
SET_1230	All files are identical
SET_1231	Files differ (ignoring headers)
SET_1232	All files are identical
SET_1233	All files are identical
SET_1234	All files are identical
SET_1235	All files are identical
SET_1236	All files are identical
SET_1237	All files are identical
SET_1238	Files differ (ignoring headers)
SET_1239	Files differ (ignoring headers)
SET_124	All files are identical
SET_1240	Files differ (ignoring headers)
SET_1241	Files differ (ignoring headers)
SET_1242	Files differ (ignoring headers)
SET_1243	All files are identical
SET_1244	All files are identical
SET_1245	All files are identical
SET_1246	All files are identical
SET_1247	All files are identical
SET_1248	All files are identical
SET_1249	All files are identical
SET_125	All files are identical
SET_1250	All files are identical
SET_1251	All files are identical
SET_1252	Files differ (ignoring headers)
SET_1253	Files differ (ignoring headers)
SET_1254	Files differ (ignoring headers)
SET_1255	All files are identical
SET_1256	Files differ (ignoring headers)
SET_1257	Files differ (ignoring headers)
SET_1258	Files differ (ignoring headers)
SET_1259	All files are identical
SET_126	All files are identical
SET_1260	All files are identical
SET_1261	Files differ (ignoring headers)
SET_1262	Files differ (ignoring headers)
SET_1263	Files differ (ignoring headers)
SET_1264	Files differ (ignoring headers)
SET_1265	All files are identical
SET_1266	Files differ (ignoring headers)
SET_1267	All files are identical
SET_1268	All files are identical
SET_1269	Files differ (ignoring headers)
SET_127	Files differ (ignoring headers)
SET_1270	Files differ (ignoring headers)
SET_1271	Files differ (ignoring headers)
SET_1272	All files are identical
SET_1273	Files differ (ignoring headers)
SET_1274	All files are identical
SET_1275	Files differ (ignoring headers)
SET_1276	Files differ (ignoring headers)
SET_1277	All files are identical
SET_1278	All files are identical
SET_1279	All files are identical
SET_128	All files are identical
SET_1280	All files are identical
SET_1281	Files differ (ignoring headers)
SET_1282	Files differ (ignoring headers)
SET_1283	All files are identical
SET_1284	All files are identical
SET_1285	All files are identical
SET_1286	All files are identical
SET_1287	All files are identical
SET_1288	All files are identical
SET_1289	All files are identical
SET_129	Files differ (ignoring headers)
SET_1290	Files differ (ignoring headers)
SET_1291	All files are identical
SET_1292	Files differ (ignoring headers)
SET_1293	All files are identical
SET_1294	All files are identical
SET_1295	Files differ (ignoring headers)
SET_1296	All files are identical
SET_1297	All files are identical
SET_1298	All files are identical
SET_1299	All files are identical
SET_13	Files differ (ignoring headers)
SET_130	All files are identical
SET_1300	Files differ (ignoring headers)
SET_1301	All files are identical
SET_1302	Files differ (ignoring headers)
SET_1303	Files differ (ignoring headers)
SET_1304	Files differ (ignoring headers)
SET_1305	Files differ (ignoring headers)
SET_1306	All files are identical
SET_1307	All files are identical
SET_1308	All files are identical
SET_1309	All files are identical
SET_131	All files are identical
SET_1310	All files are identical
SET_1311	All files are identical
SET_1312	All files are identical
SET_1313	All files are identical
SET_1314	All files are identical
SET_1315	All files are identical
SET_1316	Files differ (ignoring headers)
SET_1317	All files are identical
SET_1318	All files are identical
SET_1319	Files differ (ignoring headers)
SET_132	All files are identical
SET_1320	All files are identical
SET_1321	All files are identical
SET_1322	Files differ (ignoring headers)
SET_1323	Files differ (ignoring headers)
SET_1324	Files differ (ignoring headers)
SET_1325	All files are identical
SET_1326	All files are identical
SET_1327	Files differ (ignoring headers)
SET_1328	All files are identical
SET_1329	All files are identical
SET_133	All files are identical
SET_1330	Files differ (ignoring headers)
SET_1331	Files differ (ignoring headers)
SET_1332	Files differ (ignoring headers)
SET_1333	All files are identical
SET_1334	Files differ (ignoring headers)
SET_1335	All files are identical
SET_1336	Files differ (ignoring headers)
SET_1337	Files differ (ignoring headers)
SET_1338	Files differ (ignoring headers)
SET_1339	All files are identical
SET_134	All files are identical
SET_1340	All files are identical
SET_1341	Files differ (ignoring headers)
SET_1342	Files differ (ignoring headers)
SET_1343	All files are identical
SET_1344	Files differ (ignoring headers)
SET_1345	All files are identical
SET_1346	Files differ (ignoring headers)
SET_1347	All files are identical
SET_1348	All files are identical
SET_1349	Files differ (ignoring headers)
SET_135	All files are identical
SET_1350	All files are identical
SET_1351	All files are identical
SET_1352	All files are identical
