Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	Organism.Name	SetID	No of files in set	TaxID	Size.Mb.	Actual.Size	GC.	Scaffolds	Assembly.Accession
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	A3_2 BactoTech	Bacillus subtilis	SET_1	2	1423	4.25375	4253751	43.4	136	GCA_028807115.1
Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	A3_3 BactoTech	Bacillus subtilis	SET_1	2	1423	4.25375	4253751	43.4	136	GCA_028807155.1
Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	[Clostridium] symbiosum	MGYG-HGUT-01367	[Clostridium] symbiosum	SET_2	2	1512	4.91696	4916964	48.2	55	GCA_902374315.1
Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	[Clostridium] symbiosum	WAL-14673	[Clostridium] symbiosum WAL-14673	SET_2	2	742741	4.91696	4916964	48.2	55	GCA_000189615.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		Muribaculaceae bacterium	extra-SRR7761327.24_1677801502	Muribaculaceae bacterium	SET_3	2	2498093	2.19947	2199470	51.8	93	GCA_949540495.1
Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		Muribaculaceae bacterium	extra-SRR7762555.24_1677801623	Muribaculaceae bacterium	SET_3	2	2498093	2.19947	2199470	51.8	93	GCA_949544695.1
Bacteria	Bacillati	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	uncultured Dialister sp.	HGM14132	uncultured Dialister sp.	SET_4	2	278064	2.47519	2475189	52.2	288	GCA_900765565.1
Bacteria	Bacillati	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	uncultured Dialister sp.	MGYG-HGUT-03348	uncultured Dialister sp.	SET_4	2	278064	2.47519	2475189	52.2	288	GCA_902485005.1
Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophia	Syntrophales			Syntrophales bacterium	AMR_MDS_3470	Syntrophales bacterium	SET_5	2	2928017	2.54643	2546434	63.9	179	GCA_035395885.1
Bacteria	Pseudomonadati	Thermodesulfobacteriota	Syntrophia	Syntrophales			Syntrophales bacterium	CTOTU18435	Syntrophales bacterium	SET_5	2	2928017	2.54643	2546434	63.9	179	GCA_036823375.1
Bacteria	Bacillati	Bacillota					uncultured Bacillota bacterium	MGYG-HGUT-02912	uncultured Firmicutes bacterium	SET_6	2	344338	1.87949	1879491	46.9	76	GCA_902480655.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales			uncultured Eubacteriales bacterium	UMGS606	uncultured Eubacteriales bacterium	SET_6	2	172733	1.87949	1879491	46.9	76	GCA_900543755.1
Bacteria	Bacillati	Bacillota	Clostridia				Clostridia bacterium	HGM12753	Clostridia bacterium	SET_8	2	2044939	1.90767	1907667	47.8	647	GCA_900769255.1
Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		uncultured Oscillospiraceae bacterium	MGYG-HGUT-03510	uncultured Oscillospiraceae bacterium	SET_8	2	707003	1.90767	1907667	47.8	647	GCA_902486625.1
Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. UBA632	extra-SRR5574499.22_1677764877	Streptococcus sp. UBA632	SET_10	3	1947566	1.52312	1523119	40.8	28	GCA_949429255.1
Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. UBA632	extra-SRR5574491.22_1677764806	Streptococcus sp. UBA632	SET_10	3	1947566	1.52312	1523119	40.8	28	GCA_949461765.1
Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. UBA632	extra-SRR5574474.23_1677764756	Streptococcus sp. UBA632	SET_10	3	1947566	1.52312	1523119	40.8	28	GCA_949528705.1
Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia				Spirochaetia bacterium	HGM23193	Spirochaetia bacterium	SET_11	2	2053615	2.34638	2346376	44.9	258	GCA_900770075.1
Bacteria	Pseudomonadati	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	uncultured Treponema sp.	MGYG-HGUT-03575	uncultured Treponema sp.	SET_11	2	162155	2.34638	2346376	44.9	258	GCA_902487285.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	Y567	Aeromonas salmonicida	SET_12	2	645	4.55484	4554843	58.9	47	GCA_001466435.1
Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	ena-yuan-GCF_001466435.1	Aeromonas salmonicida	SET_12	2	645	4.55484	4554843	58.9	47	GCA_963869505.1
Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus senegalensis	type strain: JC17	Anaerococcus senegalensis JC48	SET_14	2	1033733	1.79583	1795828	28.6	21	GCA_000321005.2
Bacteria	Bacillati	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus senegalensis	MGYG-HGUT-01424	Anaerococcus senegalensis	SET_14	2	1288120	1.79583	1795828	28.6	21	GCA_902374885.1
Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp.	KS4-C049	Hydrogenophaga sp.	SET_15	2	1904254	4.68883	4688826	69.1	83	GCA_011771315.1
Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp.	ACK-C049	Hydrogenophaga sp.	SET_15	2	1904254	4.68883	4688826	69.1	83	GCA_011773685.1
Bacteria	Bacillati	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	R0104a	Clostridioides difficile	SET_16	2	1496	4.19004	4190038	28.7	1	GCA_002812585.1
