Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	IsolationSource	GeoLocName	CollectionDate	Host
GCA_028807115.1	SAMN33321707	Bacillus subtilis	BactoTech	Illumina NovaSeq	2023-02-16T06:56:03.766	Milk product waste	Poland: Torun	2018-10-30	Dairy waste
GCA_028807155.1	SAMN33321732	Bacillus subtilis	BactoTech	Illumina NovaSeq	2023-02-16T07:03:03.246	Milk product waste	Poland: Torun	2018-10-30	Dairy waste
GCA_902374315.1	SAMEA5850870	[Clostridium] symbiosum	EMG	Illumina	2019-08-07T10:17:51.023	human gut	not provided		
GCA_000189615.1	SAMN02463858	[Clostridium] symbiosum WAL-14673	Broad Institute	454	2013-12-18T11:11:47.247	missing	not determined	not determined	Homo sapiens
GCA_949540495.1	SAMEA112730841	Muribaculaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2000	2023-03-08T08:34:24.730	mouse gut metagenome	USA	2018-01-15	
GCA_949544695.1	SAMEA112731100	Muribaculaceae bacterium	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	NextSeq 500	2023-03-08T08:34:33.366	mouse gut metagenome	USA	2018-01-15	
GCA_900765565.1	SAMEA5279747	uncultured Dialister sp.	DOE JGI	Illumina Genome Analyzer II	2019-02-01T10:24:50.200	human stool	China	2018-01-01	
GCA_902485005.1	SAMEA5852854	uncultured Dialister sp.	EMG	Illumina	2019-08-07T10:18:53.883	human gut	China		
GCA_035395885.1	SAMN32865205	Syntrophales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:08.433	Activated sludge of municipal wastewater treatment plants	Japan	2015-04-20	
GCA_036823375.1	SAMN28750165	Syntrophales bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:21:36.526	sludge	Japan	2015-04-20	
GCA_902480655.1	SAMEA5852417	uncultured Bacillota bacterium	EMG	Illumina	2019-08-07T10:18:39.836	human gut	USA		
GCA_900543755.1	SAMEA4891262	uncultured Eubacteriales bacterium	EBI	Illumina	2019-01-28T10:05:28.396	human gut			
GCA_900769255.1	SAMEA5279385	Clostridia bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:20:21.380	human stool	Fiji	2018-01-01	
GCA_902486625.1	SAMEA5853016	uncultured Oscillospiraceae bacterium	EMG	Illumina	2019-08-07T10:18:58.916	human gut	not provided		
GCA_949429255.1	SAMEA112720548	Streptococcus sp. UBA632	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2500	2023-03-08T08:30:35.330	mouse gut metagenome	China	2016-01-25	
GCA_949461765.1	SAMEA112720343	Streptococcus sp. UBA632	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2500	2023-03-08T08:30:28.556	mouse gut metagenome	China	2016-01-25	
GCA_949528705.1	SAMEA112720231	Streptococcus sp. UBA632	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2500	2023-03-08T08:30:25.440	mouse gut metagenome	China	2016-01-25	
GCA_900770075.1	SAMEA5280192	Spirochaetia bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:30:46.230	human stool	Fiji	2018-01-01	
GCA_902487285.1	SAMEA5853081	uncultured Treponema sp.	EMG	Illumina	2019-08-07T10:19:01.103	human gut	not provided		
GCA_001466435.1	SAMN03395036	Aeromonas salmonicida	Universite Laval	Illumina MiSeq	2015-03-09T14:35:48.816		India	Unknown	fish
GCA_963869505.1	SAMEA115017289	Aeromonas salmonicida	Nanjing Agriculture University	not collected	2024-03-02T10:03:32.804		not collected	not collected	
GCA_000321005.2	SAMEA2272803	Anaerococcus senegalensis JC48	laboratoire URMITE CNRS 6236		2013-12-20T12:44:03.346	host stool sample	Senegal		Homo sapiens
GCA_902374885.1	SAMEA5850927	Anaerococcus senegalensis	EMG	Illumina	2019-08-07T10:17:52.663	human gut	not provided		
GCA_011771315.1	SAMN13684503	Hydrogenophaga sp.	Maharaja Krishnakumarsinhji Bhavnagar University	Illumina HiSeq	2019-12-27T05:45:08.323	Pelagic sediment	India: Gulf of Khambhat	2017-04	
GCA_011773685.1	SAMN13684383	Hydrogenophaga sp.	Maharaja Krishnakumarsinhji Bhavnagar University	Illumina HiSeq	2019-12-27T05:45:06.056	Pelagic sediment	India: Gulf of Khambhat	2017-04	
GCA_002812585.1	SAMN08104991	Clostridioides difficile	New York Medical College	PacBio and Illumina MiSeq	2017-11-28T13:09:05.820	stool	USA: NY, Orange Regional Medical Center, adult med surg unit	2014-07-19	Homo sapiens
GCA_902386365.1	SAMEA5851873	Clostridioides difficile	EMG	Illumina	2019-08-07T10:18:22.820	human gut	USA		
GCA_900170005.1	SAMEA103910952	Gordonibacter massiliensis (ex Traore et al. 2017)	URMITE	Illumina Run Mate-Paire 2*250 bp +  Run Paired-end 2*250bp	2017-03-16T17:07:39.806				
GCA_902386835.1	SAMEA5851913	Gordonibacter massiliensis (ex Traore et al. 2017)	EMG	Illumina	2019-08-07T10:18:24.070	human gut	not provided		
GCA_035399045.1	SAMN32865042	Opitutaceae bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-22T10:56:06.750	Activated sludge of municipal wastewater treatment plants	USA	2015-03-09	
