Assembly Accession	Actual Size
GCA_035393365.1	5203524
GCA_036745675.1	5203524
GCA_011456275.1	1563305
GCA_011457615.1	1563302
GCA_015234935.1	6785295
GCA_004569355.1	6785295
GCA_902364855.1	3217602
GCA_003480315.1	3217602
GCA_009017435.1	1139562
GCA_009017475.1	1139560
GCA_037761415.1	1139557
GCA_029958805.3	1139564
GCA_029958685.3	1139560
GCA_035393905.1	2775641
GCA_036829455.1	2775641
GCA_003672405.1	1603141
GCA_013330285.1	1603141
GCA_016101565.1	1957111
GCA_016101485.1	1957111
GCA_035398525.1	2939121
GCA_036795555.1	2939121
GCA_902756415.1	3044473
GCA_900319275.1	3044473
GCA_025502545.1	4175500
GCA_025502505.1	4175498
GCA_002241335.1	4747978
GCA_963875495.1	4747978
GCA_900315315.1	4258947
GCA_902756605.1	4258947
GCA_900315055.1	3123633
GCA_902756185.1	3123633
GCA_006874455.1	8812224
GCA_012034195.1	8812224
GCA_000160575.1	1980223
GCA_902374075.1	1980223
GCA_016638525.1	4964094
GCA_002947135.1	4964094
GCA_003032015.1	4964094
GCA_006088735.1	4964093
GCA_028596185.1	4964086
GCA_004346505.1	4960304
GCA_963882195.1	4960304
GCA_013415225.1	3919227
GCA_015234555.1	3919227
GCA_963889575.1	3919227
GCA_902387425.1	2422684
GCA_000220135.1	2422684
GCA_900143425.1	2937142
GCA_900148605.1	2937142
GCA_900766375.1	1333590
GCA_902485555.1	1333590
GCA_026409265.1	2496019
GCA_026409305.1	2496019
GCA_015656585.1	1766068
GCA_904502005.1	1766068
GCA_028329625.1	3498669
GCA_028329925.1	3498669
GCA_902754845.1	2423823
GCA_900315605.1	2423823
GCA_028068145.1	4817083
GCA_021793235.1	4817083
GCA_001404935.1	3531725
GCA_902362465.1	3531725
GCA_900761145.1	2059867
GCA_902483845.1	2059867
GCA_025021565.1	6275471
GCA_016107485.1	6275467
GCA_025985465.1	6275467
GCA_015905065.1	1635024
GCA_017594985.1	1635024
GCA_900766995.1	1357113
GCA_902485855.1	1357113
GCA_035326245.1	3807331
GCA_036838865.1	3807331
GCA_900316005.1	2271107
GCA_902758055.1	2271107
GCA_900549065.1	1948094
GCA_902481885.1	1948094
GCA_003860185.1	6171627
GCA_009823295.1	6171627
GCA_021730485.1	4212168
GCA_963897815.1	4212168
GCA_003213495.1	1280964
GCA_902574745.1	1280964
GCA_902364675.1	2298820
GCA_003471585.1	2298820
GCA_006383315.1	5079860
GCA_905331885.1	5079860
GCA_034297035.1	4041295
GCA_000453625.1	4041294
GCA_026128115.1	5685234
GCA_026197935.1	5685234
GCA_035405285.1	5879921
GCA_036725605.1	5879921
GCA_035392945.1	745069
GCA_036743195.1	745069
GCA_902757695.1	3120163
GCA_900319925.1	3120163
GCA_900322135.1	3094031
GCA_902758165.1	3094031
GCA_905250085.1	2459655
GCA_902810635.1	2459655
GCA_015355125.1	2592909
GCA_036400775.1	2592909
GCA_006382865.1	5136065
GCA_905331855.1	5136065
GCA_003147565.1	818848
GCA_026016825.1	818848
GCA_008630735.1	2672254
GCA_008630675.1	2672245
GCA_003070675.1	3052492
GCA_004920415.1	3052492
GCA_902373845.1	5154159
GCA_000155975.1	5154159
GCA_900770205.1	2106923
GCA_902487365.1	2106923
GCA_009766665.1	4832461
GCA_009794585.1	4832461
GCA_003324025.1	4197923
GCA_003327265.1	4197923
GCA_001456945.1	3541821
GCA_900094805.1	3541821
GCA_904501845.1	3088649
GCA_015657175.1	3088649
GCA_003555525.1	3929773
GCA_001685645.1	3929772
GCA_018775385.1	3929768
GCA_014961825.1	3929765
GCA_036865595.1	4509282
GCA_036865605.1	4509278
GCA_900555985.1	1248288
GCA_902481325.1	1248288
GCA_032352905.1	3498907
GCA_032352965.1	3498909
GCA_949516305.1	2720474
GCA_949529775.1	2720474
GCA_001286805.1	1621211
GCA_902375715.1	1621211
GCA_000235665.2	5890504
GCA_963861925.1	5890504
GCA_035400225.1	2417279
GCA_036728465.1	2417279
GCA_035400145.1	1935579
GCA_036828285.1	1935579
GCA_900315795.1	1461305
GCA_902756455.1	1461305
GCA_017846475.1	1681831
GCA_014874645.1	1681831
GCA_015657275.1	853951
GCA_904501665.1	853951
GCA_008253725.1	2038617
GCA_000007045.1	2038615
GCA_026008775.1	5052743
GCA_030385865.1	5052743
GCA_002879775.1	2636961
GCA_902388135.1	2636961
GCA_900000005.1	3238137
GCA_001511795.1	3238138
GCA_902508075.1	5986835
GCA_963900295.1	5986835
GCA_003858905.1	5030329
GCA_009822985.1	5030329
GCA_001653355.1	4829781
GCA_000007865.1	4829781
GCA_016729785.1	4770671
GCA_963892315.1	4770671
GCA_900313365.1	1854584
GCA_902756655.1	1854584
GCA_033657955.1	2711077
GCA_033659005.1	2711077
GCA_016657805.1	4552508
GCA_016657745.1	4552508
GCA_016657685.1	4552507
GCA_016657785.1	4552507
GCA_016657525.1	4552507
GCA_016657905.1	4552507
GCA_003253795.1	4498956
GCA_902387815.1	4498956
GCA_036998825.1	5781995
GCA_026163725.1	5781995
GCA_013009465.1	2291897
GCA_013343705.1	2291897
GCA_013344205.1	2291897
GCA_036039735.1	5019820
GCA_036251265.1	5019820
GCA_024508155.1	5209985
GCA_028596225.1	5209984
GCA_900319215.1	2087252
GCA_902759315.1	2087252
GCA_900540315.1	2260187
GCA_902481315.1	2260187
GCA_036285905.1	1039264
GCA_000318825.1	1039261
GCA_900545255.1	1204906
GCA_902480485.1	1204906
GCA_036749995.1	5474334
GCA_035398725.1	5474334
GCA_900551075.1	4084328
GCA_902481175.1	4084328
GCA_036829075.1	1660865
GCA_035435585.1	1660865
GCA_009815805.1	1788628
GCA_009816635.1	1788635
GCA_009817265.1	1788628
GCA_009817295.1	1788630
GCA_009818365.1	1788635
GCA_009818675.1	1788626
GCA_009818925.1	1788627
GCA_025490475.1	6537581
GCA_025490395.1	6537578
GCA_025490415.1	6537583
GCA_025490375.1	6537580
GCA_025490435.1	6537585
GCA_035396145.1	4266470
GCA_036817165.1	4266470
GCA_030129975.1	3849381
GCA_030131485.1	3849381
GCA_002208845.2	4834774
GCA_019270235.1	4834774
GCA_035615315.1	5253686
GCA_035615415.1	5253686
GCA_000737015.1	3913946
GCA_963864785.1	3913946
GCA_014109765.1	5654212
GCA_035974315.1	5654212
GCA_023016345.1	1139539
GCA_023016445.1	1139537
GCA_005311085.1	1139543
GCA_029203265.1	1139544
GCA_029201305.1	1139542
GCA_029203245.1	1139539
GCA_029958625.3	1139543
GCA_900770655.1	1908641
GCA_902487535.1	1908641
GCA_019931005.1	1965420
GCA_025150565.1	1965422
GCA_035327205.1	3184178
GCA_036788715.1	3184178
GCA_003205055.1	3390255
GCA_004920825.1	3390255
GCA_025059025.1	3350798
GCA_033579475.1	3350798
GCA_017356435.1	2625750
GCA_022509645.1	2625750
GCA_002191675.1	3312621
GCA_002191755.1	3312616
GCA_036997225.1	5784197
GCA_026161905.1	5784197
GCA_900544725.1	2059693
GCA_902480625.1	2059693
GCA_001313325.1	3135760
GCA_009862605.1	3135760
GCA_033412715.1	4185259
GCA_033413615.1	4185259
GCA_902756085.1	2288422
GCA_900315545.1	2288422
GCA_900315515.1	2292713
GCA_902756075.1	2292713
GCA_036829755.1	1828696
GCA_035393745.1	1828696
GCA_001187805.1	5783178
GCA_003115905.1	5783178
GCA_902488035.1	2415548
GCA_900771735.1	2415548
GCA_002191455.1	3312670
GCA_002192115.1	3312673
GCA_003282835.1	921506
GCA_902516255.1	921506
GCA_900544515.1	1833273
GCA_902482985.1	1833273
GCA_001481455.1	7267813
GCA_001853325.1	7267813
GCA_000236865.1	2398022
GCA_902374535.1	2398022
GCA_008802625.1	6773847
GCA_026126885.1	6773847
GCA_900761485.1	3833164
GCA_902483905.1	3833164
GCA_002632465.1	4313848
GCA_963875625.1	4313848
GCA_002909255.1	5431642
GCA_023718315.1	5431642
GCA_900317405.1	2552312
GCA_902758595.1	2552312
GCA_001230005.1	2833640
GCA_001229805.1	2833640
GCA_902364715.1	3795623
GCA_003473545.1	3795623
GCA_023108895.1	5465215
GCA_963899905.1	5465215
GCA_023517855.1	2120195
GCA_023517875.1	2120195
GCA_019633605.1	6106854
GCA_900177695.1	6106854
GCA_900314985.1	3209237
GCA_902755065.1	3209237
GCA_001294215.1	5883795
GCA_963870605.1	5883795
GCA_013415365.1	1299399
GCA_015234655.1	1299399
GCA_028534175.1	7349220
GCA_028534455.1	7349220
GCA_900318675.1	3768663
GCA_902759415.1	3768663
GCA_003003775.1	5204926
GCA_963876965.1	5204926
GCA_036839995.1	1811891
GCA_035395765.1	1811891
GCA_900765085.1	3210940
GCA_902484895.1	3210940
GCA_900241815.1	4908020
GCA_900242005.1	4908020
GCA_000726775.1	3095265
GCA_000727045.1	3095257
GCA_900064555.1	2787951
GCA_001210805.1	2787947
GCA_015555895.1	3222400
GCA_039758435.1	3222400
GCA_001275405.1	4155465
GCA_963869875.1	4155465
GCA_013366555.2	5234636
GCA_013366575.2	5234636
GCA_013366585.2	5234636
GCA_013366635.2	5234636
GCA_949486865.1	1675178
GCA_949523755.1	1675178
GCA_902760185.1	1944928
GCA_900313805.1	1944928
GCA_902363905.1	2837000
GCA_003479405.1	2837000
GCA_009915725.1	4022475
GCA_963895475.1	4022475
GCA_000272125.2	5422263
GCA_963861875.1	5422263
GCA_016601975.1	1791761
GCA_016602195.1	1791764
GCA_002732745.1	1747093
GCA_016764375.1	1747093
GCA_902756615.1	2446058
GCA_900315755.1	2446058
GCA_022509665.1	2672289
GCA_013249095.1	2672289
GCA_003149105.1	4710577
GCA_900199395.1	4710577
GCA_009914035.1	1875540
GCA_009913995.1	1875539
GCA_900762615.1	1780999
GCA_902484365.1	1780999
