Organism.Name	TaxID	BioProject.Accession	BioProject.ID	Group	SubGroup	Size..Mb.	GC.	Replicons	WGS	Scaffolds	Genes	Proteins	Release.Date	Modify.Date	Status	Center	BioSample.Accession	Assembly.Accession	Reference	FTP.Path	Pubmed.ID	Strain	Actual.Size

Pelagibacteraceae bacterium AG-404-P07	2162047	PRJNA445865	445865	Pseudomonadota	Alphaproteobacteria	0.937395	28.5	-	QCJE01	42	-	-	2018/06/12	2018/09/11	Contig	Massachusetts Institute of Technology	SAMN08886341	GCA_003216235.1	-	-	30179231	AG-404-P07	937395
uncultured Pelagibacteraceae bacterium	1667051	PRJEB33281	572885	Pseudomonadota	Alphaproteobacteria	0.937395	28.5	-	CACFAU01	42	-	-	2019/10/30	2021/01/18	Contig	WOODS HOLE OCEANOGRAPHIC INSTITUTION	SAMEA6075568	GCA_902564395.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/564/395/GCA_902564395.1_AG-404-P07	-	AG-404-P07	937395
Thermotogota bacterium	2053689	PRJNA925477	925477	Thermotogota	unclassified Thermotogota	3.16354	42.5	-	DAOPCZ01	104	2876	2827	2024/01/09	2024/01/09	Scaffold	CLUE-TERRA	SAMN32865181	GCA_035396365.1	-	-	38289113	AMR_MDS_3446	3163538
Thermotogota bacterium	2053689	PRJNA843551	843551	Thermotogota	unclassified Thermotogota	3.16354	42.5	-	DAINPP01	104	-	-	2024/02/21	2024/02/21	Scaffold	Helmholtz Centre for Environmental Research - UFZ	SAMN28746649	GCA_036743375.1	-	-	37994269	CTOTU18411	3163538
uncultured Muribaculaceae bacterium	2301481	PRJEB32890	548304	FCB group	Bacteroidota/Chlorobiota group	1.56816	54.1	-	CATDEG01	353	-	-	2023/03/07	2023/03/09	Contig	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	SAMEA112730923	GCA_949516215.1	-	-	-	extra-SRR7761330.45_1677801536	1568158
uncultured Muribaculaceae bacterium	2301481	PRJEB32890	548304	FCB group	Bacteroidota/Chlorobiota group	1.56816	54.1	-	CATGWR01	353	-	-	2023/03/07	2023/03/09	Contig	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	SAMEA112731133	GCA_949541655.1	-	-	-	extra-SRR7762556.45_1677801638	1568158
uncultured Bacteroides sp.	162156	PRJEB26432	517255	FCB group	Bacteroidota/Chlorobiota group	2.81939	43.1	-	URDR01	131	-	-	2019/01/28	2019/01/28	Contig	European Bioinformatics Institute	SAMEA4891548	GCA_900546645.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/546/645/GCA_900546645.1_UMGS901	-	UMGS901	2819390
uncultured Bacteroides sp.	162156	PRJEB33885	559126	FCB group	Bacteroidota/Chlorobiota group	2.81939	43.1	-	CABTBW01	131	-	-	2019/09/06	2021/03/01	Contig	EMG	SAMEA5852669	GCA_902483125.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/483/125/GCA_902483125.1_UHGG-TPA_MGYG-HGUT-03163	-	MGYG-HGUT-03163	2819390
Serratia marcescens subsp. marcescens ATCC 13880	911022	PRJEB40306	674213	Pseudomonadota	Gammaproteobacteria	5.16051	59.7883	chromosome:NZ_CP071196.1/CP071196.1; plasmid unnamed:NZ_CP071197.1/CP071197.1	-	2	4930	4760	2021/03/08	2022/03/19	Complete Genome	UNIVERSITY OF JYVASKYLA	SAMEA7301502	GCA_017298755.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/298/755/GCA_017298755.1_ASM1729875v1	-	ATCC 13880 substr. Sm_S54_jyu2015	5160508
