Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	SubmissionYear	IsolationSource	GeoLocName	CollectionDate	Host	RefSeq_Accession	RefSeq_Present	SetID
GCA_028807115.1	SAMN33321707	Bacillus subtilis	BactoTech	Illumina NovaSeq	2023-02-16T06:56:03.766	2023	Milk product waste	Poland: Torun	30-10-2018	Dairy waste	GCF_028807115.1	Yes	SET_1
GCA_028807155.1	SAMN33321732	Bacillus subtilis	BactoTech	Illumina NovaSeq	2023-02-16T07:03:03.246	2023	Milk product waste	Poland: Torun	30-10-2018	Dairy waste	GCF_028807155.1	Yes	SET_1
GCA_949429255.1	SAMEA112720548	Streptococcus sp. UBA632	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2500	2023-03-08T08:30:35.330	2023	mouse gut metagenome	China	25-01-2016	_NA_	GCF_949429255.1	Yes	SET_10
GCA_949461765.1	SAMEA112720343	Streptococcus sp. UBA632	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2500	2023-03-08T08:30:28.556	2023	mouse gut metagenome	China	25-01-2016	_NA_	GCF_949461765.1	Yes	SET_10
GCA_949528705.1	SAMEA112720231	Streptococcus sp. UBA632	HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Illumina HiSeq 2500	2023-03-08T08:30:25.440	2023	mouse gut metagenome	China	25-01-2016	_NA_	GCF_949528705.1	Yes	SET_10
GCA_003312095.1	SAMN09261058	Vibrio paracholerae	CDC	Illumina MiSeq	2018-05-25T12:50:06.730	2018	Animal feed	USA: Iowa	2017	Missing	GCF_003312095.1	Yes	SET_1001
GCA_963895155.1	SAMEA115017722	Vibrio paracholerae	Nanjing Agriculture University	not collected	2024-03-02T10:03:47.603	2024	_NA_	not collected	2017	_NA_	GCF_963895155.1	Yes	SET_1001
GCA_903833085.1	SAMEA6947648	uncultured Bacteroidia bacterium	BILS	Illumina NovaSeq 6000	2020-06-16T16:19:52.950	2020	lake water	Sweden	10-09-2018	_NA_	na	No	SET_1002
GCA_903867295.1	SAMEA6947658	uncultured Bacteroidia bacterium	BILS	Illumina NovaSeq 6000	2020-06-16T16:19:53.260	2020	lake water	Sweden	10-09-2018	_NA_	na	No	SET_1002
GCA_035329485.1	SAMN32809446	Ignavibacteria bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:08.323	2023	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	_NA_	na	No	SET_1003
GCA_036822255.1	SAMN28750080	Bacteroidota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T07:21:35.573	2022	sludge	Argentina	Missing	_NA_	na	No	SET_1003
GCA_900766795.1	SAMEA5278402	Oscillospiraceae bacterium	DOE JGI	Illumina HiSeq 2000	2019-02-01T10:07:28.990	2019	human stool	Fiji	01-01-2018	_NA_	GCF_900766795.1	Yes	SET_1004
GCA_902485715.1	SAMEA5852927	uncultured Oscillospiraceae bacterium	EMG	Illumina	2019-08-07T10:18:56.323	2019	human gut	not provided	_NA_	_NA_	na	No	SET_1004
GCA_035326165.1	SAMN32809230	Clostridiales bacterium	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:06.160	2023	Active sludge of wastewater treatment plant	Missing	Missing	_NA_	na	No	SET_1006
GCA_036789055.1	SAMN28749013	Bacillota bacterium	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T06:45:42.466	2022	sludge	Missing	Missing	_NA_	na	No	SET_1006
GCA_019312455.1	SAMN20178846	Staphylococcus aureus	UC San Diego	Illumina HiSeq	2021-07-12T20:04:05.765	2021		USA: Detroit	01-01-2020	Homo sapiens	GCF_019312455.1	Yes	SET_1007
GCA_019312605.1	SAMN20178842	Staphylococcus aureus	UC San Diego	Illumina HiSeq	2021-07-12T20:04:05.670	2021		USA: Detroit	01-01-2020	Homo sapiens	GCF_019312605.1	Yes	SET_1007
GCA_024160185.1	SAMN28657362	Ohessyouella blattaphilus	The Ohio State University	Illumina HiSeq	2022-05-25T11:26:07.470	2022	Insect gut	USA: Ohio	01-01-2017	Periplaneta americana	GCF_024160185.1	Yes	SET_1008
GCA_024721265.1	SAMN28658557	Ohessyouella blattaphilus	The Ohio State University	Illumina MiSeq	2022-05-25T12:43:02.876	2022	alimentary canal	USA: Ohio		Periplaneta americana	GCF_024721265.1	Yes	SET_1008
GCA_035329625.1	SAMN32809440	Sphingorhabdus sp.	CLUE-TERRA	Illumina MiSeq	2023-01-20T09:11:08.270	2023	full-scale industrial wastewater treatment plants sludge	Argentina	Missing	_NA_	na	No	SET_1010
GCA_036782835.1	SAMN28748223	Sphingorhabdus sp.	Helmholtz Centre for Environmental Research - UFZ	Illumina	2022-05-30T05:49:36.016	2022	sludge	Argentina	Missing	_NA_	na	No	SET_1010
GCA_024753105.1	SAMN29868732	Escherichia coli	CHU de Bicetre	Illumina	2022-07-21T11:06:37.090	2022	blood	France	25-10-2021	Homo sapiens	GCF_024753105.1	Yes	SET_1013
GCA_027983535.1	SAMN32793645	Escherichia coli	CHU de Bicetre	Illumina HiSeq	2023-01-19T09:30:07.440	2023	Unknown	France	2021	Homo sapiens	GCF_027983535.1	Yes	SET_1013
GCA_001187865.1	SAMN03853642	Klebsiella sp. RIT-PI-d	Monash University Malaysia	Illumina MiSeq	2015-07-10T00:16:45.717	2015	internal stem tissue	USA: Rochester, New York	10-05-2015	Toxicodendron radicans	GCF_001187865.1	Yes	SET_1014
GCA_963867435.1	SAMEA115017218	Klebsiella sp. RIT-PI-d	Nanjing Agriculture University	not collected	2024-03-02T10:03:29.470	2024	_NA_	not collected	not collected	_NA_	GCF_963867435.1	Yes	SET_1014
GCA_011365345.1	SAMN10782515	Synechococcus sp. HB1133	Macquarie University	Illumina MiSeq	2019-01-20T19:32:04.863	2019	coastal seawater	Australia: Sydney, Freshwater Beach	14-09-2011	_NA_	GCF_011365345.1	Yes	SET_1016
