SetID	Assembly	BioSample	Organism	Submitter	SeqTech	SubmissionDate	SubmissionYear	IsolationSource	GeoLocName	CollectionDate	Host	RefSeq_Accession	RefSeq_Present
SET_1	Different: GCA_028807115.1 | GCA_028807155.1	Different: SAMN33321707 | SAMN33321732	Same: Bacillus subtilis	Same: BactoTech	Same: Illumina NovaSeq	Different: 2023-02-16T06:56:03.766 | 2023-02-16T07:03:03.246	Same: 2023	Same: Milk product waste	Same: Poland: Torun	Same: 30-10-2018	Same: Dairy waste	Different: GCF_028807115.1 | GCF_028807155.1	Same: Yes
SET_10	Different: GCA_949429255.1 | GCA_949461765.1 | GCA_949528705.1	Different: SAMEA112720548 | SAMEA112720343 | SAMEA112720231	Same: Streptococcus sp. UBA632	Same: HELMHOLTZ CENTRE FOR INFECTION RESEARCH	Same: Illumina HiSeq 2500	Different: 2023-03-08T08:30:35.330 | 2023-03-08T08:30:28.556 | 2023-03-08T08:30:25.440	Same: 2023	Same: mouse gut metagenome	Same: China	Same: 25-01-2016	Same: _NA_	Different: GCF_949429255.1 | GCF_949461765.1 | GCF_949528705.1	Same: Yes
SET_1001	Different: GCA_003312095.1 | GCA_963895155.1	Different: SAMN09261058 | SAMEA115017722	Same: Vibrio paracholerae	Different: CDC | Nanjing Agriculture University	Different: Illumina MiSeq | not collected	Different: 2018-05-25T12:50:06.730 | 2024-03-02T10:03:47.603	Different: 2018 | 2024	Different: Animal feed | _NA_	Different: USA: Iowa | not collected	Same: 2017	Different: Missing | _NA_	Different: GCF_003312095.1 | GCF_963895155.1	Same: Yes
SET_1002	Different: GCA_903833085.1 | GCA_903867295.1	Different: SAMEA6947648 | SAMEA6947658	Same: uncultured Bacteroidia bacterium	Same: BILS	Same: Illumina NovaSeq 6000	Different: 2020-06-16T16:19:52.950 | 2020-06-16T16:19:53.260	Same: 2020	Same: lake water	Same: Sweden	Same: 10-09-2018	Same: _NA_	Same: na	Same: No
SET_1003	Different: GCA_035329485.1 | GCA_036822255.1	Different: SAMN32809446 | SAMN28750080	Different: Ignavibacteria bacterium | Bacteroidota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:11:08.323 | 2022-05-30T07:21:35.573	Different: 2023 | 2022	Different: full-scale industrial wastewater treatment plants sludge | sludge	Same: Argentina	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1004	Different: GCA_900766795.1 | GCA_902485715.1	Different: SAMEA5278402 | SAMEA5852927	Different: Oscillospiraceae bacterium | uncultured Oscillospiraceae bacterium	Different: DOE JGI | EMG	Different: Illumina HiSeq 2000 | Illumina	Different: 2019-02-01T10:07:28.990 | 2019-08-07T10:18:56.323	Same: 2019	Different: human stool | human gut	Different: Fiji | not provided	Different: 01-01-2018 | _NA_	Same: _NA_	Different: GCF_900766795.1 | na	Different: Yes | No
SET_1006	Different: GCA_035326165.1 | GCA_036789055.1	Different: SAMN32809230 | SAMN28749013	Different: Clostridiales bacterium | Bacillota bacterium	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:11:06.160 | 2022-05-30T06:45:42.466	Different: 2023 | 2022	Different: Active sludge of wastewater treatment plant | sludge	Same: Missing	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1007	Different: GCA_019312455.1 | GCA_019312605.1	Different: SAMN20178846 | SAMN20178842	Same: Staphylococcus aureus	Same: UC San Diego	Same: Illumina HiSeq	Different: 2021-07-12T20:04:05.765 | 2021-07-12T20:04:05.670	Same: 2021	Missing	Same: USA: Detroit	Same: 01-01-2020	Same: Homo sapiens	Different: GCF_019312455.1 | GCF_019312605.1	Same: Yes
SET_1008	Different: GCA_024160185.1 | GCA_024721265.1	Different: SAMN28657362 | SAMN28658557	Same: Ohessyouella blattaphilus	Same: The Ohio State University	Different: Illumina HiSeq | Illumina MiSeq	Different: 2022-05-25T11:26:07.470 | 2022-05-25T12:43:02.876	Same: 2022	Different: Insect gut | alimentary canal	Same: USA: Ohio	Same: 01-01-2017	Same: Periplaneta americana	Different: GCF_024160185.1 | GCF_024721265.1	Same: Yes
SET_1010	Different: GCA_035329625.1 | GCA_036782835.1	Different: SAMN32809440 | SAMN28748223	Same: Sphingorhabdus sp.	Different: CLUE-TERRA | Helmholtz Centre for Environmental Research - UFZ	Different: Illumina MiSeq | Illumina	Different: 2023-01-20T09:11:08.270 | 2022-05-30T05:49:36.016	Different: 2023 | 2022	Different: full-scale industrial wastewater treatment plants sludge | sludge	Same: Argentina	Same: Missing	Same: _NA_	Same: na	Same: No
SET_1013	Different: GCA_024753105.1 | GCA_027983535.1	Different: SAMN29868732 | SAMN32793645	Same: Escherichia coli	Same: CHU de Bicetre	Different: Illumina | Illumina HiSeq	Different: 2022-07-21T11:06:37.090 | 2023-01-19T09:30:07.440	Different: 2022 | 2023	Different: blood | Unknown	Same: France	Different: 25-10-2021 | 2021	Same: Homo sapiens	Different: GCF_024753105.1 | GCF_027983535.1	Same: Yes
SET_1014	Different: GCA_001187865.1 | GCA_963867435.1	Different: SAMN03853642 | SAMEA115017218	Same: Klebsiella sp. RIT-PI-d	Different: Monash University Malaysia | Nanjing Agriculture University	Different: Illumina MiSeq | not collected	Different: 2015-07-10T00:16:45.717 | 2024-03-02T10:03:29.470	Different: 2015 | 2024	Different: internal stem tissue | _NA_	Different: USA: Rochester, New York | not collected	Different: 10-05-2015 | not collected	Different: Toxicodendron radicans | _NA_	Different: GCF_001187865.1 | GCF_963867435.1	Same: Yes
SET_1016	Different: GCA_011365345.1 | GCA_020514355.1	Different: SAMN10782515 | SAMN12639267	Same: Synechococcus sp. HB1133	Same: Macquarie University	Same: Illumina MiSeq	Different: 2019-01-20T19:32:04.863 | 2019-08-27T00:57:05.950	Same: 2019	Different: coastal seawater | _NA_	Same: Australia: Sydney, Freshwater Beach	Same: 14-09-2011	Same: _NA_	Different: GCF_011365345.1 | GCF_020514355.1	Same: Yes
SET_1017	Different: GCA_013694015.1 | GCA_016106135.1	Different: SAMN15547716 | SAMN15396351	Same: Escherichia coli K-12	Same: Seoul National University	Same: Illumina MiSeq	Different: 2020-07-16T04:46:05.423 | 2020-06-29T07:50:05.546	Same: 2020	Different: Oral Lichen Planus biopsy from patient | oral lichen planus biopsy	Same: South Korea	Same: 2016	Same: Homo sapiens	Different: GCF_013694015.1 | GCF_016106135.1	Same: Yes
SET_1018	Different: GCA_003858735.1 | GCA_009822835.1	Different: SAMN10476576 | SAMN11928136	Same: Escherichia coli	Different: Sun Yat-sen University | Sichuan University	Same: Illumina HiSeq	Different: 2018-11-26T08:43:06.800 | 2019-06-01T07:44:07.197	Different: 2018 | 2019	Different: Gut | feces	Different: China:Guangdong | Missing	Different: 2015 | Missing	Same: Homo sapiens	Different: GCF_003858735.1 | GCF_009822835.1	Same: Yes
SET_1019	Different: GCA_034006155.1 | GCA_020532545.1	Different: SAMN36910927 | SAMN22164964	Different: Candidatus Cloacimonadaceae bacterium | Candidatus Cloacimonadota bacterium	Same: University of Waterloo	Same: Illumina HiSeq	Different: 2023-08-09T13:48:07.873 | 2021-10-08T15:31:04.886	Different: 2023 | 2021	Different: Biofilm fouling a methane capture system in an active sanitary landfill in Southern Ontario | biofilm clogging methane capture system of an active municipal landfill in Southern Ontario	Different: Canada: Ontario | Canada: Waterloo, Ontario	Same: 2017-10	Same: _NA_	Same: na	Same: No
SET_102	Different: GCA_002241285.1 | GCA_963875205.1	Different: SAMN06251409 | SAMEA115017463	Same: Vibrio sp. V14_P6S14T42	Different: Instituto de ecologia | Nanjing Agriculture University	Different: Illumina MiSeq | not collected	Different: 2017-01-23T18:36:04.746 | 2024-03-02T10:03:37.725	Different: 2017 | 2024	Different: water column | _NA_	Different: Mexico: Cuatro Cienegas | not collected	Different: 2013-03 | not collected	Same: _NA_	Different: GCF_002241285.1 | GCF_963875205.1	Same: Yes
SET_1023	Different: GCA_900545605.1 | GCA_902481645.1	Different: SAMEA4891439 | SAMEA5852516	Same: uncultured Collinsella sp.	Different: EBI | EMG	Same: Illumina	Different: 2019-02-08T12:13:08.633 | 2019-08-07T10:18:43.040	Same: 2019	Same: human gut	Different: _NA_ | USA	Same: _NA_	Same: _NA_	Same: na	Same: No
SET_1024	Different: GCA_002172105.2 | GCA_002692045.1	Different: SAMN06972030 | SAMN07620085	Different: Candidatus Puniceispirillum sp. TMED176 | SAR116 cluster bacterium	Different: University of Southern California | Tara Oceans Consortium	Same: Illumina HiSeq	Different: 2017-05-12T20:08:12.786 | 2017-09-07T19:44:04.950	Same: 2017	Different: seawater | marine water sample	Same: Mediterranean Sea	Same: 2009	Same: not applicable	Same: na	Same: No
SET_1025	Different: GCA_948688705.1 | GCA_949003255.1	Different: SAMEA112409302 | SAMEA112409734	Same: uncultured Eubacteriales bacterium	Same: UNIVERSITY OF CAMBRIDGE	Same: Illumina	Different: 2023-02-06T10:12:28.053 | 2023-02-06T10:12:49.266	Same: 2023	Same: feces	Same: USA	Same: not provided	Same: _NA_	Same: na	Same: No
